CustomerID,ItemID,Quantity,PurchaseDate,TotalPrice,EmployeeID
Cust0328,Item0009,1,2023-05-06,76.54,Emp05
Cust0115,Item0004,1,2023-12-13,197.48,Emp08
Cust0380,Item0026,3,2023-08-05,43.5,
Cust0017,Item0007,1,2023-04-30,100.14,Emp01
Cust0259,Item0018,1,2023-04-12,16.44,Emp02
Cust0367,Item0018,1,2023-08-03,52.0,Emp03
Cust0113,Item0009,1,2023-01-04,71.4,Emp04
Cust0389,Item0065,2,2023-06-24,76.06,
Cust0143,Item0011,1,2023-02-22,80.34,Emp06
Cust0048,Item0012,1,2023-06-26,146.44,Emp01
Cust0310,Item0002,1,2023-08-24,63.29,Emp04
Cust0275,Item0013,1,2023-02-10,132.36,Emp07
Cust0283,Item0020,1,2023-07-05,13.3,Emp09
Cust0296,Item0003,1,2023-01-24,64.53,Emp08
Cust0339,Item0010,1,2023-02-10,112.07,Emp02
Cust0438,Item0004,1,2023-07-14,172.75,Emp06
Cust0143,Item0012,1,2023-03-25,63.61,Emp07
Cust0190,Item0009,1,2023-12-26,76.69,Emp09
Cust0480,Item0003,1,2023-11-08,55.77,Emp10
Cust0326,Item0008,1,2023-03-25,38.97,Emp02
Cust0237,Item0018,1,2023-04-23,44.73,Emp01
Cust0351,Item0002,1,2023-04-28,49.79,Emp10
Cust0421,Item0011,1,2023-07-25,41.88,Emp08
Cust0138,Item0019,1,2023-06-11,14.86,Emp08
Cust0109,Item0013,1,2023-11-26,146.58,Emp10
Cust0235,Item0005,1,2023-05-07,76.61,Emp08
Cust0382,Item0009,1,2023-10-27,49.28,Emp09
Cust0220,Item0046,2,2023-04-23,76.62,
Cust0071,Item0003,1,2023-01-25,41.54,Emp01
Cust0441,Item0006,1,2023-12-15,105.73,Emp03
Cust0217,Item0013,1,2023-07-15,80.34,Emp04
Cust0306,Item0054,2,2023-10-11,44.56,
Cust0441,Item0064,3,2023-02-28,140.88,
Cust0350,Item0069,2,2023-11-25,36.96,
Cust0175,Item0014,1,2023-03-22,42.97,Emp05
Cust0233,Item0009,1,2023-09-14,95.91,Emp05
Cust0391,Item0004,1,2023-11-17,184.33,Emp06
Cust0153,Item0053,3,2023-04-12,123.42,
Cust0079,Item0006,1,2023-10-04,63.59,Emp07
Cust0489,Item0054,1,2023-11-03,49.6,
Cust0166,Item0004,1,2023-07-05,190.23,Emp09
Cust0450,Item0040,1,2023-01-30,27.67,
Cust0124,Item0026,1,2023-09-06,20.85,
Cust0418,Item0018,1,2023-03-06,18.1,Emp05
Cust0066,Item0018,1,2023-03-26,21.54,Emp05
Cust0136,Item0020,1,2023-08-05,34.74,Emp07
