CustomerID,ItemID,Quantity,PurchaseDate,ItemName,ItemCategory,ItemSubcategory,UnitPrice,TotalPrice,PreferredItem,CustomerSegment,EmployeeID
Cust0328,Item0009,1,2023-05-06,Hair Treatment (Keratin),Service,Treatment,67.81,67.81,Haircut (Women's),Regular,Emp06
Cust0115,Item0004,1,2023-12-13,Hair Coloring (Full),Service,Coloring,118.63,118.63,Hair Styling (Blowout),New,Emp04
Cust0380,Item0023,3,2023-08-05,Shampoo (Color-Safe),Product,Shampoo,19.61,58.83,Toner,Occasional,
Cust0017,Item0007,1,2023-04-30,Balayage,Service,Coloring,153.32,153.32,Haircut (Women's),Occasional,Emp07
Cust0259,Item0018,1,2023-04-12,Waxing (Eyebrows),Service,Waxing,51.44,51.44,Hair Styling (Blowout),Regular,Emp08
Cust0367,Item0018,1,2023-08-03,Waxing (Eyebrows),Service,Waxing,18.99,18.99,Haircut (Men's),Occasional,Emp08
Cust0113,Item0009,1,2023-01-04,Hair Treatment (Keratin),Service,Treatment,43.22,43.22,Waxing (Eyebrows),Regular,Emp04
Cust0389,Item0034,2,2023-05-23,Texturizing Spray,Product,Styling Products,31.9,63.8,Dry Shampoo,Regular,
Cust0080,Item0011,1,2023-02-22,Hair Styling (Blowout),Service,Styling,72.95,72.95,Facial,Regular,Emp05
Cust0048,Item0012,1,2023-06-26,Perm,Service,Styling,84.36,84.36,Hair Treatment (Keratin),Regular,Emp10
Cust0310,Item0002,1,2023-08-24,Haircut (Men's),Service,Haircut,65.88,65.88,Haircut (Women's),Occasional,Emp09
Cust0275,Item0013,1,2023-02-10,Relaxer,Service,Styling,113.48,113.48,Waxing (Bikini),New,Emp06
Cust0283,Item0020,1,2023-07-05,Waxing (Bikini),Service,Waxing,56.71,56.71,Hair Styling (Blowout),Occasional,Emp03
Cust0296,Item0003,1,2023-01-24,Haircut (Children's),Service,Haircut,50.65,50.65,Hair Styling (Blowout),Regular,Emp10
Cust0339,Item0010,1,2023-02-10,Hair Styling (Updo),Service,Styling,94.97,94.97,Perm,Occasional,Emp08
Cust0438,Item0004,1,2023-07-14,Hair Coloring (Full),Service,Coloring,174.4,174.4,Highlights,Regular,Emp04
Cust0143,Item0012,1,2023-03-25,Perm,Service,Styling,69.75,69.75,Waxing (Eyebrows),Occasional,Emp06
Cust0190,Item0009,1,2023-12-26,Hair Treatment (Keratin),Service,Treatment,41.57,41.57,Hair Styling (Blowout),Occasional,Emp07
Cust0480,Item0003,1,2023-11-08,Haircut (Children's),Service,Haircut,60.22,60.22,Waxing (Legs),Regular,Emp02
Cust0326,Item0008,1,2023-03-25,Hair Treatment (Deep Conditioning),Service,Treatment,69.18,69.18,Perm,New,Emp06
Cust0237,Item0018,1,2023-04-23,Waxing (Eyebrows),Service,Waxing,35.23,35.23,Hair Treatment (Deep Conditioning),Regular,Emp03
Cust0351,Item0002,1,2023-04-28,Haircut (Men's),Service,Haircut,47.8,47.8,Hair Treatment (Deep Conditioning),Occasional,Emp07
Cust0421,Item0011,1,2023-07-25,Hair Styling (Blowout),Service,Styling,122.74,122.74,Balayage,Occasional,Emp07
Cust0138,Item0019,1,2023-06-11,Waxing (Legs),Service,Waxing,38.93,38.93,Perm,Regular,Emp06
Cust0109,Item0013,1,2023-11-26,Relaxer,Service,Styling,149.9,149.9,Waxing (Eyebrows),New,Emp06
Cust0235,Item0005,1,2023-05-07,Hair Coloring (Roots),Service,Coloring,190.23,190.23,Waxing (Bikini),Occasional,Emp10
Cust0382,Item0009,1,2023-10-27,Hair Treatment (Keratin),Service,Treatment,63.4,63.4,Hair Extensions (Installation),Occasional,Emp02
Cust0220,Item0033,2,2023-04-23,Heat Protectant Spray,Product,Styling Products,34.06,68.12,Dry Shampoo,Regular,
Cust0071,Item0003,1,2023-01-25,Haircut (Children's),Service,Haircut,36.03,36.03,Balayage,New,Emp05
Cust0441,Item0006,1,2023-12-15,Highlights,Service,Coloring,142.44,142.44,Relaxer,Occasional,Emp08
Cust0217,Item0013,1,2023-07-15,Relaxer,Service,Styling,65.23,65.23,Hair Coloring (Full),Regular,Emp07
Cust0306,Item0037,2,2023-10-11,Moisturizer,Product,Skincare,21.49,42.98,Hair Serum,Regular,
Cust0441,Item0024,3,2023-10-02,Conditioner (Volume),Product,Conditioner,37.14,111.42,Shampoo (Color-Safe),Occasional,
Cust0385,Item0011,1,2023-02-27,Hair Styling (Blowout),Service,Styling,49.73,49.73,Hair Coloring (Full),Regular,Emp03
Cust0151,Item0015,1,2023-01-02,Hair Extensions (Removal),Service,Styling,103.91,103.91,Haircut (Children's),Occasional,Emp06
Cust0489,Item0029,3,2023-04-02,Hair Spray,Product,Styling Products,18.37,55.11,Hair Spray,Regular,
Cust0260,Item0030,3,2023-09-17,Styling Gel,Product,Styling,27.09,81.27,Styling Mousse,Regular,
